"Test","Seed","RotationDeg","TranslationMm","JointsDeg","InitialDice","FinalDice","LeftDice","RightDice","PassOverall","PassBothArms","L_T","R_T","L_R","R_R","L_J","R_J"
"R1_T1_J1","2026","1","1","1","0.687423835198084","0.988901386658351","0.988427221775055","0.989375551541646","True","True","0.693692803382874","0.660414397716522","0.493371665477753","1.08281695842743","0.385567605495453","1.01292562484741"
"R1_T1_J1","2027","1","1","1","0.639953126509984","0.980221807956696","0.975969394048055","0.984474221865336","True","True","0.720636248588562","0.624192714691162","0.342640697956085","0.947087049484253","0.218423768877983","0.994421899318695"
"R1_T1_J1","2028","1","1","1","0.643376171588898","0.970166226228078","0.95792951186498","0.982402940591176","True","True","0.714080691337585","0.596206605434418","1.44320023059845","0.360451996326447","0.803859710693359","0.418088853359222"
"R1_T1_J1","2029","1","1","1","0.906303912401199","0.981426388025284","0.978773474693298","0.984079301357269","True","True","0.725968897342682","0.622842907905579","0.828034698963165","0.266878634691238","0.445722192525864","0.201256930828094"
"R1_T1_J1","2030","1","1","1","0.578806440035502","0.799147297938665","0.613249361515045","0.985045234362284","False","False","2.20520186424255","0.632011234760284","0.356082707643509","0.930411458015442","1.58554768562317","0.896965384483337"
"R1_T1_J1","2031","1","1","1","0.842572063207626","0.984476357698441","0.9815593957901","0.987393319606781","True","True","0.808337867259979","0.705305993556976","0.240662753582001","1.19811987876892","0.337291806936264","0.847443282604218"
"R1_T1_J1","2032","1","1","1","0.64912294348081","0.945082088311513","0.901351670424143","0.988812506198883","False","False","1.12267255783081","0.608126223087311","1.27257061004639","0.491782695055008","0.665367484092712","0.285650610923767"
"R1_T1_J1","2033","1","1","1","0.812717775503794","0.983482350905736","0.980325043201446","0.986639658610026","True","True","0.682904541492462","0.643459260463715","0.410216242074966","0.895692646503448","0.247375816106796","0.370423793792725"
"R1_T1_J1","2034","1","1","1","0.609683747092883","0.975062102079392","0.967510680357615","0.982613523801168","True","True","0.664544939994812","0.669655919075012","1.03552091121674","1.13746023178101","1.04480719566345","0.665129244327545"
"R1_T1_J1","2035","1","1","1","0.705364182591438","0.975524773200353","0.964089016119639","0.986960530281067","True","True","0.759105622768402","0.661458313465118","0.929569780826569","0.669103264808655","1.25764393806458","0.713533103466034"
